timestamp,open,high,low,close
2024-08-23 19:00:00,64084.95,64318.93,63836.69,64037.24
2024-08-23 20:00:00,64037.24,64206.7,63816.05,63961.78
2024-08-23 21:00:00,63961.79,64006.4,63626.58,63836.48
2024-08-23 22:00:00,63836.49,64000.0,63788.8,63949.99
2024-08-23 23:00:00,63949.99,63990.0,63759.01,63832.01
2024-08-24 00:00:00,63832.0,63986.0,63822.0,63897.61
2024-08-24 01:00:00,63897.61,64032.95,63860.61,63987.98
2024-08-24 02:00:00,63987.98,64277.43,63924.56,64048.0
2024-08-24 03:00:00,64048.0,64332.0,64048.0,64315.0
2024-08-24 04:00:00,64315.0,64450.63,64144.5,64416.0
2024-08-24 05:00:00,64416.0,64494.5,64200.0,64328.66
2024-08-24 06:00:00,64328.65,64382.36,64098.0,64117.76
2024-08-24 07:00:00,64117.77,64186.67,63868.0,63905.01
2024-08-24 08:00:00,63905.0,64180.0,63902.0,64086.99
2024-08-24 09:00:00,64086.99,64244.0,63961.25,64221.49
2024-08-24 10:00:00,64221.5,64228.89,64013.03,64171.84
2024-08-24 11:00:00,64171.84,64171.84,63872.0,63976.0
2024-08-24 12:00:00,63976.0,64413.01,63903.58,64298.01
2024-08-24 13:00:00,64298.01,64298.01,63951.97,64050.99
2024-08-24 14:00:00,64051.0,64444.0,63938.0,64223.06
2024-08-24 15:00:00,64223.06,64372.0,64210.6,64210.6
2024-08-24 16:00:00,64210.6,64328.0,64123.77,64131.0
2024-08-24 17:00:00,64131.0,64172.01,63531.0,63612.37
2024-08-24 18:00:00,63612.36,64000.0,63570.0,63833.98
2024-08-24 19:00:00,63833.98,64163.62,63796.41,64157.01
2024-08-24 20:00:00,64157.02,64507.04,64107.16,64175.99
2024-08-24 21:00:00,64175.98,64376.69,64042.42,64150.08
2024-08-24 22:00:00,64150.08,64269.0,64102.5,64137.0
2024-08-24 23:00:00,64137.0,64170.0,64000.0,64101.01
2024-08-25 00:00:00,64101.01,64161.0,64000.0,64150.99
2024-08-25 01:00:00,64151.0,64196.0,64100.01,64137.5
2024-08-25 02:00:00,64137.5,64163.64,63976.82,63994.0
2024-08-25 03:00:00,63994.0,64038.0,63785.76,63868.26
2024-08-25 04:00:00,63868.27,64010.0,63806.0,63931.0
2024-08-25 05:00:00,63931.0,63978.0,63773.27,63861.31
2024-08-25 06:00:00,63861.3,63932.0,63787.5,63881.01
2024-08-25 07:00:00,63881.02,64009.83,63870.73,63873.91
2024-08-25 08:00:00,63873.92,63940.0,63805.0,63924.0
2024-08-25 09:00:00,63923.99,64167.0,63851.34,64082.02
2024-08-25 10:00:00,64082.03,64251.0,64082.02,64148.01
2024-08-25 11:00:00,64148.0,64288.0,64086.0,64132.16
2024-08-25 12:00:00,64132.17,64201.0,64000.0,64033.99
2024-08-25 13:00:00,64033.99,64162.94,64024.0,64140.99
2024-08-25 14:00:00,64141.0,64248.66,64065.25,64166.99
2024-08-25 15:00:00,64166.99,64210.05,64145.13,64187.41
2024-08-25 16:00:00,64187.42,64264.0,64122.49,64206.99
2024-08-25 17:00:00,64207.0,64572.0,64206.99,64383.73
2024-08-25 18:00:00,64383.73,64616.0,64279.12,64482.01
2024-08-25 19:00:00,64482.0,65000.0,64200.0,64220.0
2024-08-25 20:00:00,64219.99,64481.0,63891.0,64111.01
2024-08-25 21:00:00,64111.01,64196.0,63890.94,63939.98
2024-08-25 22:00:00,63939.98,64071.6,63790.0,64070.0
2024-08-25 23:00:00,64070.0,64121.0,64004.0,64114.99
2024-08-26 00:00:00,64115.0,64205.31,63948.0,64019.0
2024-08-26 01:00:00,64019.0,64050.0,63885.0,63950.01
2024-08-26 02:00:00,63950.01,64012.92,63420.0,63728.44
2024-08-26 03:00:00,63728.43,63867.84,63575.0,63627.01
2024-08-26 04:00:00,63627.01,63868.0,63595.39,63738.0
2024-08-26 05:00:00,63737.99,63875.81,63220.95,63856.99
2024-08-26 06:00:00,63857.0,64039.2,63733.28,63780.0
2024-08-26 07:00:00,63780.01,63996.77,63739.39,63859.0
2024-08-26 08:00:00,63859.0,63958.95,63464.0,63633.0
2024-08-26 09:00:00,63633.0,63873.0,63500.0,63766.0
2024-08-26 10:00:00,63766.0,63874.34,63125.53,63500.6
2024-08-26 11:00:00,63500.6,63635.0,63061.0,63532.53
2024-08-26 12:00:00,63532.54,63826.0,63412.06,63705.0
2024-08-26 13:00:00,63705.0,63878.78,63204.0,63375.99
2024-08-26 14:00:00,63376.0,63702.85,63192.04,63643.94
2024-08-26 15:00:00,63643.94,63703.0,63252.01,63342.99
2024-08-26 16:00:00,63342.99,63557.58,63202.71,63417.01
2024-08-26 17:00:00,63417.0,63423.89,62838.0,63155.81
2024-08-26 18:00:00,63155.82,63280.0,62888.24,62973.01
2024-08-26 19:00:00,62973.01,63168.0,62800.0,62834.0
2024-08-26 20:00:00,62834.0,63050.0,62657.0,62722.0
2024-08-26 21:00:00,62722.0,63212.0,62688.15,62994.8
2024-08-26 22:00:00,62994.81,63193.94,62892.0,62900.07
2024-08-26 23:00:00,62900.07,63009.91,62716.0,62970.0
2024-08-27 00:00:00,62970.0,63099.69,62911.49,63038.99
2024-08-27 01:00:00,63038.99,63200.0,63038.98,63150.02
2024-08-27 02:00:00,63150.02,63151.26,62701.06,62761.0
2024-08-27 03:00:00,62761.0,62961.0,62750.19,62902.31
2024-08-27 04:00:00,62902.32,63000.0,62700.0,62813.38
2024-08-27 05:00:00,62813.38,62952.41,62566.0,62679.99
2024-08-27 06:00:00,62679.99,62679.99,62244.37,62332.05
2024-08-27 07:00:00,62332.06,62545.0,62230.0,62417.0
2024-08-27 08:00:00,62416.99,62475.0,62132.0,62419.56
2024-08-27 09:00:00,62419.57,62495.0,62128.24,62232.64
2024-08-27 10:00:00,62232.65,62293.0,61801.01,61851.01
2024-08-27 11:00:00,61851.01,61981.82,61473.03,61709.13
2024-08-27 12:00:00,61709.13,61989.9,61534.6,61560.12
2024-08-27 13:00:00,61560.13,61933.32,61518.74,61933.32
2024-08-27 14:00:00,61933.31,62142.84,61885.3,62096.01
2024-08-27 15:00:00,62096.01,62196.75,61884.98,62102.01
2024-08-27 16:00:00,62102.0,62102.01,61846.33,61859.0
2024-08-27 17:00:00,61858.99,61956.17,60000.0,60419.99
2024-08-27 18:00:00,60419.99,60420.0,58034.01,59506.94
2024-08-27 19:00:00,59506.94,59780.0,59150.0,59415.0
2024-08-27 20:00:00,59415.0,59448.96,59000.0,59088.94
2024-08-27 21:00:00,59088.94,59459.45,58917.12,59383.63
2024-08-27 22:00:00,59383.63,59424.0,59190.75,59336.02
2024-08-27 23:00:00,59336.02,59650.0,59304.92,59629.01
2024-08-28 00:00:00,59629.01,59661.0,59275.87,59325.33
2024-08-28 01:00:00,59325.33,59486.54,59250.42,59287.94
2024-08-28 02:00:00,59287.93,59356.66,59126.21,59186.91
2024-08-28 03:00:00,59186.91,59271.82,58516.0,58600.98
2024-08-28 04:00:00,58600.98,59296.92,58534.35,59223.99
2024-08-28 05:00:00,59224.0,60231.0,59136.18,60200.12
2024-08-28 06:00:00,60200.11,60234.98,59700.0,59756.99
2024-08-28 07:00:00,59757.0,60099.99,59680.03,59935.0
2024-08-28 08:00:00,59934.99,60160.0,59886.01,59946.22
2024-08-28 09:00:00,59946.23,60004.96,59310.16,59334.0
2024-08-28 10:00:00,59334.0,59942.0,58926.0,59195.26
2024-08-28 11:00:00,59195.26,59195.26,58443.07,59000.0
2024-08-28 12:00:00,59000.0,59218.38,57860.0,59198.01
2024-08-28 13:00:00,59198.01,59255.0,58636.47,58650.0
2024-08-28 14:00:00,58650.0,59510.0,58597.66,59487.0
2024-08-28 15:00:00,59487.0,59849.99,58815.0,58898.85
2024-08-28 16:00:00,58898.85,59602.0,58623.01,59312.01
2024-08-28 17:00:00,59312.0,59483.88,59077.86,59113.91
2024-08-28 18:00:00,59113.91,59255.41,58844.59,59195.43
2024-08-28 19:00:00,59195.43,59197.14,58989.0,59034.9
2024-08-28 20:00:00,59034.9,59237.0,58917.83,59205.83
2024-08-28 21:00:00,59205.83,59320.0,58878.46,58997.99
2024-08-28 22:00:00,58998.0,59187.5,58919.99,59137.0
2024-08-28 23:00:00,59137.01,59200.0,59032.48,59141.1
2024-08-29 00:00:00,59141.11,59226.22,59049.79,59197.96
2024-08-29 01:00:00,59197.96,59460.0,59146.33,59436.17
2024-08-29 02:00:00,59436.17,59764.0,59370.0,59570.65
2024-08-29 03:00:00,59570.65,59685.99,59499.63,59583.88
2024-08-29 04:00:00,59583.88,59635.66,59374.0,59551.97
2024-08-29 05:00:00,59551.97,59773.75,59551.2,59586.0
2024-08-29 06:00:00,59586.0,59841.66,59575.04,59673.01
2024-08-29 07:00:00,59673.01,60477.0,59614.86,60067.06
2024-08-29 08:00:00,60067.06,60498.0,59990.0,60322.0
2024-08-29 09:00:00,60321.99,60664.0,60170.01,60626.01
2024-08-29 10:00:00,60626.99,60949.0,60452.0,60814.99
2024-08-29 11:00:00,60815.0,61166.99,60741.93,60779.99
2024-08-29 12:00:00,60779.99,60960.0,60220.22,60295.0
2024-08-29 13:00:00,60294.99,60585.63,60174.2,60533.0
2024-08-29 14:00:00,60533.0,60548.99,58915.01,59161.0
2024-08-29 15:00:00,59161.01,59703.77,58951.1,59258.0
2024-08-29 16:00:00,59257.99,59529.0,59234.0,59529.0
2024-08-29 17:00:00,59529.0,59638.37,59423.77,59496.0
2024-08-29 18:00:00,59496.0,59496.01,58713.09,59211.99
2024-08-29 19:00:00,59211.99,59397.0,59145.1,59359.01
2024-08-29 20:00:00,59359.0,59487.64,59132.0,59204.01
2024-08-29 21:00:00,59204.01,59300.95,58953.7,59217.0
2024-08-29 22:00:00,59217.0,59341.0,59062.52,59202.51
2024-08-29 23:00:00,59202.5,59206.0,58899.7,59032.01
2024-08-30 00:00:00,59032.0,59156.0,59001.11,59013.01
2024-08-30 01:00:00,59013.01,59023.85,58685.0,58784.0
2024-08-30 02:00:00,58783.99,59373.0,58705.01,59361.0
2024-08-30 03:00:00,59361.01,59582.86,59226.84,59271.1
2024-08-30 04:00:00,59271.11,59587.12,59271.0,59445.0
2024-08-30 05:00:00,59445.0,59669.96,59421.1,59580.64
2024-08-30 06:00:00,59580.65,59674.42,59426.5,59581.13
2024-08-30 07:00:00,59581.13,59650.0,59318.0,59396.0
2024-08-30 08:00:00,59396.0,59944.07,59375.0,59539.0
2024-08-30 09:00:00,59538.99,59668.0,58901.0,59653.0
2024-08-30 10:00:00,59653.0,59830.0,58441.31,58462.89
2024-08-30 11:00:00,58462.89,58675.01,57946.01,58094.99
2024-08-30 12:00:00,58095.0,58600.0,57701.1,58551.11
2024-08-30 13:00:00,58551.1,58811.04,58406.0,58630.91
2024-08-30 14:00:00,58630.91,59371.0,58625.0,59370.99
2024-08-30 15:00:00,59371.0,59371.0,58700.01,58700.02
2024-08-30 16:00:00,58700.02,59048.0,58700.0,59048.0
2024-08-30 17:00:00,59048.0,59155.0,58975.4,59055.99
2024-08-30 18:00:00,59056.0,59298.89,59051.1,59237.5
2024-08-30 19:00:00,59237.5,59275.78,59088.01,59123.99
2024-08-30 20:00:00,59123.99,59462.38,59070.4,59246.01
2024-08-30 21:00:00,59246.0,59335.0,59180.94,59285.0
2024-08-30 22:00:00,59285.0,59293.0,59119.01,59196.5
2024-08-30 23:00:00,59196.5,59254.0,59129.33,59232.01
2024-08-31 00:00:00,59232.01,59350.0,59215.0,59350.0
2024-08-31 01:00:00,59350.0,59350.0,59211.88,59212.0
2024-08-31 02:00:00,59212.01,59264.95,59151.8,59154.01
2024-08-31 03:00:00,59154.02,59188.99,59043.12,59095.0
2024-08-31 04:00:00,59095.01,59130.0,58981.1,58985.01
2024-08-31 05:00:00,58985.01,59023.0,58831.88,58905.01
2024-08-31 06:00:00,58905.01,59170.4,58872.0,59136.99
2024-08-31 07:00:00,59136.99,59188.9,59103.54,59120.99
2024-08-31 08:00:00,59120.99,59244.04,59071.1,59192.26
2024-08-31 09:00:00,59192.26,59244.04,58929.96,58954.99
2024-08-31 10:00:00,58955.0,59170.11,58892.15,59126.0
2024-08-31 11:00:00,59126.01,59155.0,58954.81,59006.54
2024-08-31 12:00:00,59006.54,59032.12,58854.0,58971.55
2024-08-31 13:00:00,58971.55,59034.84,58744.0,59013.16
2024-08-31 14:00:00,59013.17,59140.01,58868.22,58920.52
2024-08-31 15:00:00,58920.53,58941.29,58823.73,58856.0
2024-08-31 16:00:00,58856.0,58971.56,58763.29,58951.08
2024-08-31 17:00:00,58951.09,59130.0,58900.0,59061.01
2024-08-31 18:00:00,59061.0,59141.72,59006.0,59024.0
2024-08-31 19:00:00,59023.99,59056.0,58927.0,58973.99
2024-08-31 20:00:00,58974.0,59076.59,58900.0,58930.0
2024-08-31 21:00:00,58929.99,58957.0,58819.78,58828.01
2024-08-31 22:00:00,58828.0,58851.65,58276.01,58540.25
2024-08-31 23:00:00,58540.25,58672.01,58399.01,58524.21
